2017112201p干流数字河道,监测时间：2017112201p干流数字河道Lan7_2013-3-01_2013-4-01_NDWI_30m流量
"RS river width",97.46047620362101
"slop",0.003154492400000000
"adjusted slop",0.003154492400000000
"roughness coefficient",0.03000000000000000
" adjusted roughness coefficient",0.03000000000000000
"Water Level",4473.556600000000
"Water Depth",5.163499999999658
"velocity of flow",4.226392709889146
" runoff",1449.187777850292
"factor of velocity",1.000000000000000
"Width error%",2.000000000000000
"section smooth factor",1.000000000000000
"Section area",342.8899956360900
"wetted perimeter length",101.0916509140469
"hydraulic radius",3.391872548679931
