2017112201p干流数字河道,监测时间：Lan7_2016-9-01_2016-10-01_NDWI_30m
"RS river width",38.36172001660275
"slop",0.003154492400000000
"adjusted slop",0.003154492400000000
"roughness coefficient",0.03000000000000000
" adjusted roughness coefficient",0.03000000000000000
"Water Level",4469.153909333341
"Water Depth",0.5726146666693239
"velocity of flow",0.8710014487378166
" runoff",10.21049998662477
"factor of velocity",1.000000000000000
"Width error%",2.000000000000000
"section smooth factor",150.0000000000000
"Section area",11.72271297759721
"wetted perimeter length",36.94154311847575
"hydraulic radius",0.3173314374010074
