2017112201p干流数字河道Monitor_Time,Flow(m3/s),FlowVelocity(m/s),WaterLevel(m),WaterDepth(m),WaterWidth(m)
"监测时间：Lan7_2005-10-11_2005-10-20_NDWI_30m",79.0664,1.63190,4470.00,1.41730,59.2863
"监测时间：Lan7_2005-9-21_2005-10-01_NDWI_30m",79.2638,1.71657,4469.95,1.37177,52.3114
"监测时间：Lan7_2005-9-01_2005-9-10_NDWI_30m",50.4961,1.51807,4469.69,1.10530,45.3366
"监测时间：Lan7_2005-6-21_2005-7-01_NDWI_30m",67.7220,1.65738,4469.85,1.26698,48.8240
"监测时间：Lan7_2004-10-21_2004-11-01_NDWI_30m",148.627,1.92856,4470.38,1.79508,73.2360
"监测时间：Lan7_2004-4-11_2004-4-20_NDWI_30m",1324.91,4.16663,4473.30,4.71588,94.1606
"监测时间：Lan7_2004-3-11_2004-3-20_NDWI_30m",737.180,3.45882,4472.10,3.51478,83.6983
"监测时间：Lan7_2003-5-21_2003-6-01_NDWI_30m",249.748,2.32910,4470.78,2.19550,76.7234
"监测时间：Lan7_2003-1-01_2003-1-10_NDWI_30m",1075.87,3.95486,4472.78,4.20326,87.1857
"监测时间：Lan7_2002-10-01_2002-10-10_NDWI_30m",79.0664,1.63190,4470.00,1.41730,59.2863
"监测时间：Lan7_2002-8-11_2002-8-20_NDWI_30m",67.7220,1.65738,4469.85,1.26698,48.8240
"监测时间：Lan7_2000-5-01_2000-5-10_NDWI_30m",1456.85,4.26609,4473.55,4.97066,97.6480
"监测时间：Lan7_1999-7-21_1999-8-01_NDWI_30m",50.4961,1.51807,4469.69,1.10530,45.3366
