2017112301河道计算Monitor_Time,Flow(m3/s),FlowVelocity(m/s),WaterLevel(m),WaterDepth(m),WaterWidth(m)
"监测时间：Lan7_1999-7-01_1999-8-01_NDWI_30m",16.0036,1.67123,2759.45,0.472198,40.2492
"监测时间：Lan7_1999-9-01_1999-10-01_NDWI_30m",223.923,3.60967,2760.38,1.40100,84.9706
"监测时间：Lan7_2000-5-01_2000-6-01_NDWI_30m",560.593,4.88113,2760.96,1.97687,98.3870
"监测时间：Lan7_2000-8-01_2000-9-01_NDWI_30m",326.158,4.08807,2760.60,1.61487,89.4427
"监测时间：Lan7_2000-9-01_2000-10-01_NDWI_30m",223.923,3.60967,2760.38,1.40100,84.9706
"监测时间：Lan7_2000-10-01_2000-11-01_NDWI_30m",218.495,3.65243,2760.35,1.36942,80.4984
"监测时间：Lan7_2001-4-01_2001-5-01_NDWI_30m",374.808,4.22991,2760.68,1.70384,93.9148
"监测时间：Lan7_2001-5-01_2001-6-01_NDWI_30m",326.158,4.08807,2760.60,1.61487,89.4427
"监测时间：Lan7_2001-8-01_2001-9-01_NDWI_30m",326.158,4.08807,2760.60,1.61487,89.4427
"监测时间：Lan7_2001-9-01_2001-10-01_NDWI_30m",245.919,3.89968,2760.40,1.41553,76.0263
"监测时间：Lan7_2001-10-01_2001-11-01_NDWI_30m",218.495,3.65243,2760.35,1.36942,80.4984
"监测时间：Lan7_2001-11-01_2001-12-01_NDWI_30m",218.495,3.65243,2760.35,1.36942,80.4984
"监测时间：Lan7_2002-4-01_2002-5-01_NDWI_30m",560.593,4.88113,2760.96,1.97687,98.3870
"监测时间：Lan7_2002-5-01_2002-6-01_NDWI_30m",245.919,3.89968,2760.40,1.41553,76.0263
"监测时间：Lan7_2002-6-01_2002-7-01_NDWI_30m",374.808,4.22991,2760.68,1.70384,93.9148
"监测时间：Lan7_2002-8-01_2002-9-01_NDWI_30m",560.593,4.88113,2760.96,1.97687,98.3870
"监测时间：Lan7_2002-10-01_2002-11-01_NDWI_30m",374.808,4.22991,2760.68,1.70384,93.9148
"监测时间：Lan7_2003-2-01_2003-3-01_NDWI_30m",374.808,4.22991,2760.68,1.70384,93.9148
"监测时间：Lan7_2003-4-01_2003-5-01_NDWI_30m",374.808,4.22991,2760.68,1.70384,93.9148
"监测时间：Lan7_2003-5-01_2003-6-01_NDWI_30m",374.808,4.22991,2760.68,1.70384,93.9148
"监测时间：Lan7_2003-9-01_2003-10-01_NDWI_30m",223.923,3.60967,2760.38,1.40100,84.9706
"监测时间：Lan7_2004-3-01_2004-4-01_NDWI_30m",560.593,4.88113,2760.96,1.97687,98.3870
"监测时间：Lan7_2004-4-01_2004-5-01_NDWI_30m",560.593,4.88113,2760.96,1.97687,98.3870
"监测时间：Lan7_2004-5-01_2004-6-01_NDWI_30m",196.274,3.73614,2760.24,1.26287,67.0820
"监测时间：Lan7_2004-8-01_2004-9-01_NDWI_30m",326.158,4.08807,2760.60,1.61487,89.4427
"监测时间：Lan7_2004-9-01_2004-10-01_NDWI_30m",223.923,3.60967,2760.38,1.40100,84.9706
"监测时间：Lan7_2004-10-01_2004-11-01_NDWI_30m",326.158,4.08807,2760.60,1.61487,89.4427
"监测时间：Lan7_2004-11-01_2004-12-01_NDWI_30m",326.158,4.08807,2760.60,1.61487,89.4427
"监测时间：Lan7_2005-4-01_2005-5-01_NDWI_30m",374.808,4.22991,2760.68,1.70384,93.9148
"监测时间：Lan7_2006-4-01_2006-5-01_NDWI_30m",374.808,4.22991,2760.68,1.70384,93.9148
"监测时间：Lan7_2006-5-01_2006-6-01_NDWI_30m",326.158,4.08807,2760.60,1.61487,89.4427
"监测时间：Lan7_2006-7-01_2006-8-01_NDWI_30m",223.923,3.60967,2760.38,1.40100,84.9706
"监测时间：Lan7_2006-8-01_2006-9-01_NDWI_30m",265.265,4.11155,2760.42,1.43660,71.5542
"监测时间：Lan7_2006-9-01_2006-10-01_NDWI_30m",223.923,3.60967,2760.38,1.40100,84.9706
"监测时间：Lan7_2006-10-01_2006-11-01_NDWI_30m",218.495,3.65243,2760.35,1.36942,80.4984
"监测时间：Lan7_2007-4-01_2007-5-01_NDWI_30m",326.158,4.08807,2760.60,1.61487,89.4427
"监测时间：Lan7_2007-6-01_2007-7-01_NDWI_30m",374.808,4.22991,2760.68,1.70384,93.9148
"监测时间：Lan7_2007-7-01_2007-8-01_NDWI_30m",223.923,3.60967,2760.38,1.40100,84.9706
"监测时间：Lan7_2007-8-01_2007-9-01_NDWI_30m",223.923,3.60967,2760.38,1.40100,84.9706
"监测时间：Lan7_2007-9-01_2007-10-01_NDWI_30m",223.923,3.60967,2760.38,1.40100,84.9706
"监测时间：Lan7_2007-10-01_2007-11-01_NDWI_30m",218.495,3.65243,2760.35,1.36942,80.4984
"监测时间：Lan7_2007-11-01_2007-12-01_NDWI_30m",218.495,3.65243,2760.35,1.36942,80.4984
"监测时间：Lan7_2007-12-01_2008-1-01_NDWI_30m",374.808,4.22991,2760.68,1.70384,93.9148
"监测时间：Lan7_2008-3-01_2008-4-01_NDWI_30m",560.593,4.88113,2760.96,1.97687,98.3870
"监测时间：Lan7_2008-7-01_2008-8-01_NDWI_30m",326.158,4.08807,2760.60,1.61487,89.4427
"监测时间：Lan7_2008-9-01_2008-10-01_NDWI_30m",326.158,4.08807,2760.60,1.61487,89.4427
"监测时间：Lan7_2008-10-01_2008-11-01_NDWI_30m",223.923,3.60967,2760.38,1.40100,84.9706
"监测时间：Lan7_2009-3-01_2009-4-01_NDWI_30m",374.808,4.22991,2760.68,1.70384,93.9148
"监测时间：Lan7_2009-5-01_2009-6-01_NDWI_30m",374.808,4.22991,2760.68,1.70384,93.9148
"监测时间：Lan7_2009-7-01_2009-8-01_NDWI_30m",223.923,3.60967,2760.38,1.40100,84.9706
"监测时间：Lan7_2009-8-01_2009-9-01_NDWI_30m",560.593,4.88113,2760.96,1.97687,98.3870
"监测时间：Lan7_2009-9-01_2009-10-01_NDWI_30m",223.923,3.60967,2760.38,1.40100,84.9706
"监测时间：Lan7_2009-10-01_2009-11-01_NDWI_30m",326.158,4.08807,2760.60,1.61487,89.4427
"监测时间：Lan7_2010-5-01_2010-6-01_NDWI_30m",560.593,4.88113,2760.96,1.97687,98.3870
"监测时间：Lan7_2010-6-01_2010-7-01_NDWI_30m",374.808,4.22991,2760.68,1.70384,93.9148
"监测时间：Lan7_2010-8-01_2010-9-01_NDWI_30m",374.808,4.22991,2760.68,1.70384,93.9148
"监测时间：Lan7_2010-11-01_2010-12-01_NDWI_30m",374.808,4.22991,2760.68,1.70384,93.9148
"监测时间：Lan7_2010-12-01_2011-1-01_NDWI_30m",218.495,3.65243,2760.35,1.36942,80.4984
"监测时间：Lan7_2011-9-01_2011-10-01_NDWI_30m",326.158,4.08807,2760.60,1.61487,89.4427
"监测时间：Lan7_2011-10-01_2011-11-01_NDWI_30m",223.923,3.60967,2760.38,1.40100,84.9706
"监测时间：Lan7_2011-11-01_2011-12-01_NDWI_30m",223.923,3.60967,2760.38,1.40100,84.9706
"监测时间：Lan7_2012-4-01_2012-5-01_NDWI_30m",326.158,4.08807,2760.60,1.61487,89.4427
"监测时间：Lan7_2012-5-01_2012-6-01_NDWI_30m",218.495,3.65243,2760.35,1.36942,80.4984
"监测时间：Lan7_2012-6-01_2012-7-01_NDWI_30m",560.593,4.88113,2760.96,1.97687,98.3870
"监测时间：Lan7_2012-7-01_2012-8-01_NDWI_30m",374.808,4.22991,2760.68,1.70384,93.9148
"监测时间：Lan7_2012-9-01_2012-10-01_NDWI_30m",223.923,3.60967,2760.38,1.40100,84.9706
"监测时间：Lan7_2012-10-01_2012-11-01_NDWI_30m",326.158,4.08807,2760.60,1.61487,89.4427
"监测时间：Lan7_2012-11-01_2012-12-01_NDWI_30m",265.265,4.11155,2760.42,1.43660,71.5542
"监测时间：Lan7_2012-12-01_2013-1-01_NDWI_30m",245.919,3.89968,2760.40,1.41553,76.0263
"监测时间：Lan7_2013-2-01_2013-3-01_NDWI_30m",223.923,3.60967,2760.38,1.40100,84.9706
"监测时间：Lan7_2013-5-01_2013-6-01_NDWI_30m",223.923,3.60967,2760.38,1.40100,84.9706
"监测时间：Lan7_2013-6-01_2013-7-01_NDWI_30m",223.923,3.60967,2760.38,1.40100,84.9706
"监测时间：Lan7_2013-7-01_2013-8-01_NDWI_30m",245.919,3.89968,2760.40,1.41553,76.0263
"监测时间：Lan7_2013-10-01_2013-11-01_NDWI_30m",57.0880,2.58432,2759.72,0.737590,49.1935
"监测时间：Lan7_2013-12-01_2014-1-01_NDWI_30m",134.674,3.30080,2760.06,1.08237,62.6099
"监测时间：Lan7_2014-1-01_2014-2-01_NDWI_30m",134.674,3.30080,2760.06,1.08237,62.6099
"监测时间：Lan7_2014-6-01_2014-7-01_NDWI_30m",245.919,3.89968,2760.40,1.41553,76.0263
"监测时间：Lan7_2014-7-01_2014-8-01_NDWI_30m",245.919,3.89968,2760.40,1.41553,76.0263
"监测时间：Lan7_2014-8-01_2014-9-01_NDWI_30m",113.168,3.15801,2759.98,1.00089,58.1378
"监测时间：Lan7_2014-9-01_2014-10-01_NDWI_30m",57.0880,2.58432,2759.72,0.737590,49.1935
"监测时间：Lan7_2015-2-01_2015-3-01_NDWI_30m",57.0880,2.58432,2759.72,0.737590,49.1935
"监测时间：Lan7_2015-3-01_2015-4-01_NDWI_30m",218.495,3.65243,2760.35,1.36942,80.4984
"监测时间：Lan7_2015-5-01_2015-6-01_NDWI_30m",113.168,3.15801,2759.98,1.00089,58.1378
"监测时间：Lan7_2015-8-01_2015-9-01_NDWI_30m",196.274,3.73614,2760.24,1.26287,67.0820
"监测时间：Lan7_2015-9-01_2015-10-01_NDWI_30m",245.919,3.89968,2760.40,1.41553,76.0263
"监测时间：Lan7_2016-7-01_2016-8-01_NDWI_30m",218.495,3.65243,2760.35,1.36942,80.4984
"监测时间：Lan7_2016-9-01_2016-10-01_NDWI_30m",57.0880,2.58432,2759.72,0.737590,49.1935
"监测时间：Lan7_2016-10-01_2016-11-01_NDWI_30m",0.0787197,0.293202,2759.13,0.153973,17.8885
"监测时间：Lan7_2017-7-01_2017-8-01_NDWI_30m",113.168,3.15801,2759.98,1.00089,58.1378
"监测时间：Lan7_2017-8-01_2017-9-01_NDWI_30m",57.0880,2.58432,2759.72,0.737590,49.1935
"监测时间：Lan7_2017-10-01_2017-11-01_NDWI_30m",16.0036,1.67123,2759.45,0.472198,40.2492
"监测时间：Lan7_2017-11-01_2017-12-01_NDWI_30m",57.0880,2.58432,2759.72,0.737590,49.1935
"监测时间：Lan7_2018-3-01_2018-4-01_NDWI_30m",196.274,3.73614,2760.24,1.26287,67.0820
"监测时间：Lan7_2018-4-01_2018-5-01_NDWI_30m",218.495,3.65243,2760.35,1.36942,80.4984
"监测时间：Lan7_2018-6-01_2018-7-01_NDWI_30m",326.158,4.08807,2760.60,1.61487,89.4427
"监测时间：Lan7_2018-8-01_2018-9-01_NDWI_30m",103.397,3.17448,2759.92,0.942494,53.6656
"监测时间：Lan7_2018-9-01_2018-10-01_NDWI_30m",16.0036,1.67123,2759.45,0.472198,40.2492
"监测时间：Lan7_2018-12-01_2019-1-01_NDWI_30m",0.724852,0.749459,2759.23,0.248886,13.4164
"监测时间：Lan7_2019-2-01_2019-3-01_NDWI_30m",26.2607,1.96413,2759.53,0.552216,44.7214
"监测时间：Lan7_2019-4-01_2019-5-01_NDWI_30m",134.674,3.30080,2760.06,1.08237,62.6099
"监测时间：Lan7_2019-7-01_2019-8-01_NDWI_30m",57.0880,2.58432,2759.72,0.737590,49.1935
"监测时间：Lan7_2019-8-01_2019-9-01_NDWI_30m",26.2607,1.96413,2759.53,0.552216,44.7214
"监测时间：Lan7_2019-9-01_2019-10-01_NDWI_30m",0.724852,0.749459,2759.23,0.248886,13.4164
"监测时间：Lan7_2019-10-01_2019-11-01_NDWI_30m",0.316785,0.445411,2759.15,0.170188,22.3607
"监测时间：Lan7_2020-2-01_2020-3-01_NDWI_30m",0.316785,0.445411,2759.15,0.170188,22.3607
"监测时间：Lan7_2020-4-01_2020-5-01_NDWI_30m",0.211022,0.801534,2759.14,0.155300,4.47214
"监测时间：Lan7_2020-6-01_2020-7-01_NDWI_30m",16.0036,1.67123,2759.45,0.472198,40.2492
